colony,location,day,minute,count
c393,stick,0,1,6
c393,stick,0,2,6
c393,stick,0,3,4
c393,stick,0,4,5
c393,stick,0,5,7
c393,stick,1,1,1
c393,stick,1,2,2
c393,stick,1,3,1
c393,stick,1,4,0
c393,stick,1,5,2
c393,stick,2,1,0
c393,stick,2,2,0
c393,stick,2,3,1
c393,stick,2,4,0
c393,stick,2,5,1
c393,stick,3,1,2
c393,stick,3,2,3
c393,stick,3,3,2
c393,stick,3,4,2
c393,stick,3,5,1
c393,stick,4,1,2
c393,stick,4,2,1
c393,stick,4,3,4
c393,stick,4,4,2
c393,stick,4,5,4
c393,stick,5,1,0
c393,stick,5,2,1
c393,stick,5,3,0
c393,stick,5,4,2
c393,stick,5,5,1
c393,stick,6,1,1
c393,stick,6,2,3
c393,stick,6,3,3
c393,stick,6,4,1
c393,stick,6,5,2
c393,stick,7,1,1
c393,stick,7,2,0
c393,stick,7,3,2
c393,stick,7,4,3
c393,stick,7,5,4
c393,usedNest,0,1,NA
c393,usedNest,0,2,NA
c393,usedNest,0,3,NA
c393,usedNest,0,4,NA
c393,usedNest,0,5,NA
c393,usedNest,1,1,0
c393,usedNest,1,2,1
c393,usedNest,1,3,0
c393,usedNest,1,4,0
c393,usedNest,1,5,1
c393,usedNest,2,1,0
c393,usedNest,2,2,1
c393,usedNest,2,3,0
c393,usedNest,2,4,1
c393,usedNest,2,5,0
c393,usedNest,3,1,3
c393,usedNest,3,2,3
c393,usedNest,3,3,2
c393,usedNest,3,4,2
c393,usedNest,3,5,3
c393,usedNest,4,1,0
c393,usedNest,4,2,0
c393,usedNest,4,3,0
c393,usedNest,4,4,1
c393,usedNest,4,5,0
c393,usedNest,5,1,1
c393,usedNest,5,2,2
c393,usedNest,5,3,1
c393,usedNest,5,4,1
c393,usedNest,5,5,1
c393,usedNest,6,1,1
c393,usedNest,6,2,2
c393,usedNest,6,3,3
c393,usedNest,6,4,3
c393,usedNest,6,5,0
c393,usedNest,7,1,0
c393,usedNest,7,2,0
c393,usedNest,7,3,1
c393,usedNest,7,4,1
c393,usedNest,7,5,0
c393,freshNest,0,1,NA
c393,freshNest,0,2,NA
c393,freshNest,0,3,NA
c393,freshNest,0,4,NA
c393,freshNest,0,5,NA
c393,freshNest,1,1,1
c393,freshNest,1,2,2
c393,freshNest,1,3,1
c393,freshNest,1,4,0
c393,freshNest,1,5,2
c393,freshNest,2,1,1
c393,freshNest,2,2,2
c393,freshNest,2,3,2
c393,freshNest,2,4,0
c393,freshNest,2,5,1
c393,freshNest,3,1,0
c393,freshNest,3,2,0
c393,freshNest,3,3,0
c393,freshNest,3,4,0
c393,freshNest,3,5,0
c393,freshNest,4,1,1
c393,freshNest,4,2,1
c393,freshNest,4,3,0
c393,freshNest,4,4,0
c393,freshNest,4,5,1
c393,freshNest,5,1,0
c393,freshNest,5,2,0
c393,freshNest,5,3,1
c393,freshNest,5,4,0
c393,freshNest,5,5,1
c393,freshNest,6,1,0
c393,freshNest,6,2,0
c393,freshNest,6,3,1
c393,freshNest,6,4,0
c393,freshNest,6,5,3
c393,freshNest,7,1,0
c393,freshNest,7,2,0
c393,freshNest,7,3,0
c393,freshNest,7,4,1
c393,freshNest,7,5,1
c393,water,0,1,0
c393,water,0,2,2
c393,water,0,3,3
c393,water,0,4,4
c393,water,0,5,5
c393,water,1,1,1
c393,water,1,2,1
c393,water,1,3,1
c393,water,1,4,1
c393,water,1,5,1
c393,water,2,1,1
c393,water,2,2,0
c393,water,2,3,0
c393,water,2,4,0
c393,water,2,5,1
c393,water,3,1,1
c393,water,3,2,1
c393,water,3,3,0
c393,water,3,4,1
c393,water,3,5,1
c393,water,4,1,1
c393,water,4,2,2
c393,water,4,3,2
c393,water,4,4,2
c393,water,4,5,2
c393,water,5,1,0
c393,water,5,2,0
c393,water,5,3,0
c393,water,5,4,0
c393,water,5,5,0
c393,water,6,1,0
c393,water,6,2,0
c393,water,6,3,1
c393,water,6,4,0
c393,water,6,5,3
c393,water,7,1,0
c393,water,7,2,0
c393,water,7,3,0
c393,water,7,4,1
c393,water,7,5,1
c393,sugarWater,0,1,1
c393,sugarWater,0,2,1
c393,sugarWater,0,3,0
c393,sugarWater,0,4,1
c393,sugarWater,0,5,1
c393,sugarWater,1,1,0
c393,sugarWater,1,2,0
c393,sugarWater,1,3,0
c393,sugarWater,1,4,0
c393,sugarWater,1,5,0
c393,sugarWater,2,1,2
c393,sugarWater,2,2,2
c393,sugarWater,2,3,2
c393,sugarWater,2,4,2
c393,sugarWater,2,5,1
c393,sugarWater,3,1,0
c393,sugarWater,3,2,0
c393,sugarWater,3,3,1
c393,sugarWater,3,4,0
c393,sugarWater,3,5,0
c393,sugarWater,4,1,0
c393,sugarWater,4,2,1
c393,sugarWater,4,3,0
c393,sugarWater,4,4,0
c393,sugarWater,4,5,0
c393,sugarWater,5,1,0
c393,sugarWater,5,2,0
c393,sugarWater,5,3,1
c393,sugarWater,5,4,0
c393,sugarWater,5,5,0
c393,sugarWater,6,1,1
c393,sugarWater,6,2,2
c393,sugarWater,6,3,1
c393,sugarWater,6,4,0
c393,sugarWater,6,5,0
c393,sugarWater,7,1,0
c393,sugarWater,7,2,0
c393,sugarWater,7,3,1
c393,sugarWater,7,4,1
c393,sugarWater,7,5,0
c393,napkinSlide,0,1,0
c393,napkinSlide,0,2,1
c393,napkinSlide,0,3,1
c393,napkinSlide,0,4,0
c393,napkinSlide,0,5,1
c393,napkinSlide,1,1,0
c393,napkinSlide,1,2,1
c393,napkinSlide,1,3,1
c393,napkinSlide,1,4,0
c393,napkinSlide,1,5,0
c393,napkinSlide,2,1,1
c393,napkinSlide,2,2,0
c393,napkinSlide,2,3,0
c393,napkinSlide,2,4,1
c393,napkinSlide,2,5,0
c393,napkinSlide,3,1,0
c393,napkinSlide,3,2,0
c393,napkinSlide,3,3,0
c393,napkinSlide,3,4,0
c393,napkinSlide,3,5,1
c393,napkinSlide,4,1,1
c393,napkinSlide,4,2,0
c393,napkinSlide,4,3,0
c393,napkinSlide,4,4,0
c393,napkinSlide,4,5,1
c393,napkinSlide,5,1,0
c393,napkinSlide,5,2,0
c393,napkinSlide,5,3,0
c393,napkinSlide,5,4,1
c393,napkinSlide,5,5,1
c393,napkinSlide,6,1,0
c393,napkinSlide,6,2,0
c393,napkinSlide,6,3,1
c393,napkinSlide,6,4,0
c393,napkinSlide,6,5,0
c393,napkinSlide,7,1,0
c393,napkinSlide,7,2,2
c393,napkinSlide,7,3,1
c393,napkinSlide,7,4,2
c393,napkinSlide,7,5,2
c393,pollenCricket,0,1,1
c393,pollenCricket,0,2,0
c393,pollenCricket,0,3,1
c393,pollenCricket,0,4,0
c393,pollenCricket,0,5,0
c393,pollenCricket,1,1,0
c393,pollenCricket,1,2,1
c393,pollenCricket,1,3,0
c393,pollenCricket,1,4,0
c393,pollenCricket,1,5,0
c393,pollenCricket,2,1,0
c393,pollenCricket,2,2,0
c393,pollenCricket,2,3,0
c393,pollenCricket,2,4,0
c393,pollenCricket,2,5,0
c393,pollenCricket,3,1,0
c393,pollenCricket,3,2,0
c393,pollenCricket,3,3,0
c393,pollenCricket,3,4,0
c393,pollenCricket,3,5,0
c393,pollenCricket,4,1,0
c393,pollenCricket,4,2,0
c393,pollenCricket,4,3,0
c393,pollenCricket,4,4,0
c393,pollenCricket,4,5,0
c393,pollenCricket,5,1,0
c393,pollenCricket,5,2,0
c393,pollenCricket,5,3,0
c393,pollenCricket,5,4,0
c393,pollenCricket,5,5,0
c393,pollenCricket,6,1,1
c393,pollenCricket,6,2,0
c393,pollenCricket,6,3,0
c393,pollenCricket,6,4,1
c393,pollenCricket,6,5,1
c393,pollenCricket,7,1,1
c393,pollenCricket,7,2,1
c393,pollenCricket,7,3,0
c393,pollenCricket,7,4,1
c393,pollenCricket,7,5,1
c393,other,0,1,5
c393,other,0,2,5
c393,other,0,3,4
c393,other,0,4,6
c393,other,0,5,4
c393,other,1,1,11
c393,other,1,2,7
c393,other,1,3,7
c393,other,1,4,8
c393,other,1,5,8
c393,other,2,1,NA
c393,other,2,2,NA
c393,other,2,3,NA
c393,other,2,4,NA
c393,other,2,5,NA
c393,other,3,1,2
c393,other,3,2,2
c393,other,3,3,2
c393,other,3,4,5
c393,other,3,5,3
c393,other,4,1,NA
c393,other,4,2,NA
c393,other,4,3,NA
c393,other,4,4,NA
c393,other,4,5,NA
c393,other,5,1,2
c393,other,5,2,2
c393,other,5,3,3
c393,other,5,4,2
c393,other,5,5,2
c393,other,6,1,NA
c393,other,6,2,NA
c393,other,6,3,NA
c393,other,6,4,NA
c393,other,6,5,NA
c393,other,7,1,2
c393,other,7,2,3
c393,other,7,3,2
c393,other,7,4,2
c393,other,7,5,3
c392,stick,0,1,9
c392,stick,0,2,8
c392,stick,0,3,5
c392,stick,0,4,7
c392,stick,0,5,5
c392,stick,1,1,4
c392,stick,1,2,3
c392,stick,1,3,3
c392,stick,1,4,3
c392,stick,1,5,3
c392,stick,2,1,11
c392,stick,2,2,10
c392,stick,2,3,13
c392,stick,2,4,7
c392,stick,2,5,4
c392,stick,3,1,10
c392,stick,3,2,11
c392,stick,3,3,14
c392,stick,3,4,15
c392,stick,3,5,13
c392,stick,4,1,16
c392,stick,4,2,12
c392,stick,4,3,13
c392,stick,4,4,9
c392,stick,4,5,7
c392,stick,5,1,6
c392,stick,5,2,9
c392,stick,5,3,11
c392,stick,5,4,7
c392,stick,5,5,10
c392,stick,6,1,13
c392,stick,6,2,15
c392,stick,6,3,11
c392,stick,6,4,7
c392,stick,6,5,9
c392,stick,7,1,7
c392,stick,7,2,14
c392,stick,7,3,16
c392,stick,7,4,17
c392,stick,7,5,12
c392,freshNest,0,1,NA
c392,freshNest,0,2,NA
c392,freshNest,0,3,NA
c392,freshNest,0,4,NA
c392,freshNest,0,5,NA
c392,freshNest,1,1,11
c392,freshNest,1,2,8
c392,freshNest,1,3,11
c392,freshNest,1,4,9
c392,freshNest,1,5,6
c392,freshNest,2,1,3
c392,freshNest,2,2,6
c392,freshNest,2,3,7
c392,freshNest,2,4,8
c392,freshNest,2,5,7
c392,freshNest,3,1,0
c392,freshNest,3,2,1
c392,freshNest,3,3,3
c392,freshNest,3,4,4
c392,freshNest,3,5,6
c392,freshNest,4,1,3
c392,freshNest,4,2,2
c392,freshNest,4,3,6
c392,freshNest,4,4,5
c392,freshNest,4,5,6
c392,freshNest,5,1,2
c392,freshNest,5,2,3
c392,freshNest,5,3,6
c392,freshNest,5,4,7
c392,freshNest,5,5,3
c392,freshNest,6,1,3
c392,freshNest,6,2,3
c392,freshNest,6,3,4
c392,freshNest,6,4,8
c392,freshNest,6,5,5
c392,freshNest,7,1,2
c392,freshNest,7,2,3
c392,freshNest,7,3,6
c392,freshNest,7,4,7
c392,freshNest,7,5,3
c392,water,0,1,4
c392,water,0,2,3
c392,water,0,3,4
c392,water,0,4,5
c392,water,0,5,9
c392,water,1,1,3
c392,water,1,2,3
c392,water,1,3,3
c392,water,1,4,4
c392,water,1,5,6
c392,water,2,1,2
c392,water,2,2,2
c392,water,2,3,0
c392,water,2,4,0
c392,water,2,5,1
c392,water,3,1,6
c392,water,3,2,6
c392,water,3,3,0
c392,water,3,4,0
c392,water,3,5,1
c392,water,4,1,1
c392,water,4,2,1
c392,water,4,3,2
c392,water,4,4,2
c392,water,4,5,0
c392,water,5,1,0
c392,water,5,2,0
c392,water,5,3,1
c392,water,5,4,2
c392,water,5,5,2
c392,water,6,1,0
c392,water,6,2,1
c392,water,6,3,0
c392,water,6,4,2
c392,water,6,5,0
c392,water,7,1,3
c392,water,7,2,4
c392,water,7,3,3
c392,water,7,4,1
c392,water,7,5,1
c392,sugarWater,0,1,2
c392,sugarWater,0,2,2
c392,sugarWater,0,3,1
c392,sugarWater,0,4,2
c392,sugarWater,0,5,1
c392,sugarWater,1,1,0
c392,sugarWater,1,2,0
c392,sugarWater,1,3,0
c392,sugarWater,1,4,0
c392,sugarWater,1,5,1
c392,sugarWater,2,1,0
c392,sugarWater,2,2,1
c392,sugarWater,2,3,2
c392,sugarWater,2,4,1
c392,sugarWater,2,5,1
c392,sugarWater,3,1,0
c392,sugarWater,3,2,1
c392,sugarWater,3,3,0
c392,sugarWater,3,4,1
c392,sugarWater,3,5,1
c392,sugarWater,4,1,0
c392,sugarWater,4,2,0
c392,sugarWater,4,3,1
c392,sugarWater,4,4,2
c392,sugarWater,4,5,0
c392,sugarWater,5,1,0
c392,sugarWater,5,2,0
c392,sugarWater,5,3,0
c392,sugarWater,5,4,0
c392,sugarWater,5,5,0
c392,sugarWater,6,1,1
c392,sugarWater,6,2,1
c392,sugarWater,6,3,0
c392,sugarWater,6,4,0
c392,sugarWater,6,5,2
c392,sugarWater,7,1,2
c392,sugarWater,7,2,3
c392,sugarWater,7,3,5
c392,sugarWater,7,4,8
c392,sugarWater,7,5,10
c392,napkinSlide,0,1,1
c392,napkinSlide,0,2,1
c392,napkinSlide,0,3,2
c392,napkinSlide,0,4,4
c392,napkinSlide,0,5,1
c392,napkinSlide,1,1,0
c392,napkinSlide,1,2,0
c392,napkinSlide,1,3,1
c392,napkinSlide,1,4,0
c392,napkinSlide,1,5,1
c392,napkinSlide,2,1,1
c392,napkinSlide,2,2,0
c392,napkinSlide,2,3,0
c392,napkinSlide,2,4,1
c392,napkinSlide,2,5,0
c392,napkinSlide,3,1,0
c392,napkinSlide,3,2,3
c392,napkinSlide,3,3,0
c392,napkinSlide,3,4,1
c392,napkinSlide,3,5,0
c392,napkinSlide,4,1,0
c392,napkinSlide,4,2,2
c392,napkinSlide,4,3,0
c392,napkinSlide,4,4,2
c392,napkinSlide,4,5,2
c392,napkinSlide,5,1,1
c392,napkinSlide,5,2,3
c392,napkinSlide,5,3,0
c392,napkinSlide,5,4,0
c392,napkinSlide,5,5,0
c392,napkinSlide,6,1,1
c392,napkinSlide,6,2,2
c392,napkinSlide,6,3,0
c392,napkinSlide,6,4,1
c392,napkinSlide,6,5,1
c392,napkinSlide,7,1,4
c392,napkinSlide,7,2,1
c392,napkinSlide,7,3,2
c392,napkinSlide,7,4,3
c392,napkinSlide,7,5,1
c392,pollenCricket,0,1,0
c392,pollenCricket,0,2,1
c392,pollenCricket,0,3,1
c392,pollenCricket,0,4,3
c392,pollenCricket,0,5,0
c392,pollenCricket,1,1,0
c392,pollenCricket,1,2,0
c392,pollenCricket,1,3,1
c392,pollenCricket,1,4,0
c392,pollenCricket,1,5,0
c392,pollenCricket,2,1,0
c392,pollenCricket,2,2,0
c392,pollenCricket,2,3,0
c392,pollenCricket,2,4,0
c392,pollenCricket,2,5,0
c392,pollenCricket,3,1,0
c392,pollenCricket,3,2,0
c392,pollenCricket,3,3,0
c392,pollenCricket,3,4,0
c392,pollenCricket,3,5,0
c392,pollenCricket,4,1,1
c392,pollenCricket,4,2,1
c392,pollenCricket,4,3,1
c392,pollenCricket,4,4,1
c392,pollenCricket,4,5,0
c392,pollenCricket,5,1,0
c392,pollenCricket,5,2,0
c392,pollenCricket,5,3,0
c392,pollenCricket,5,4,1
c392,pollenCricket,5,5,0
c392,pollenCricket,6,1,0
c392,pollenCricket,6,2,0
c392,pollenCricket,6,3,1
c392,pollenCricket,6,4,0
c392,pollenCricket,6,5,0
c392,pollenCricket,7,1,1
c392,pollenCricket,7,2,0
c392,pollenCricket,7,3,0
c392,pollenCricket,7,4,1
c392,pollenCricket,7,5,0
c392,other,0,1,7
c392,other,0,2,11
c392,other,0,3,10
c392,other,0,4,10
c392,other,0,5,14
c392,other,1,1,12
c392,other,1,2,13
c392,other,1,3,14
c392,other,1,4,10
c392,other,1,5,11
c392,other,2,1,NA
c392,other,2,2,NA
c392,other,2,3,NA
c392,other,2,4,NA
c392,other,2,5,NA
c392,other,3,1,11
c392,other,3,2,9
c392,other,3,3,16
c392,other,3,4,10
c392,other,3,5,15
c392,other,4,1,NA
c392,other,4,2,NA
c392,other,4,3,NA
c392,other,4,4,NA
c392,other,4,5,NA
c392,other,5,1,11
c392,other,5,2,8
c392,other,5,3,6
c392,other,5,4,7
c392,other,5,5,9
c392,other,6,1,NA
c392,other,6,2,NA
c392,other,6,3,NA
c392,other,6,4,NA
c392,other,6,5,NA
c392,other,7,1,2
c392,other,7,2,3
c392,other,7,3,5
c392,other,7,4,8
c392,other,7,5,10